set_num,last_6_months_new_total_lots,last_6_months_new_total_qty,last_6_months_new_min_price,last_6_months_new_avg_price,last_6_months_new_qty_avg_price,last_6_months_new_max_price,last_6_months_used_total_lots,last_6_months_used_total_qty,last_6_months_used_min_price,last_6_months_used_avg_price,last_6_months_used_qty_avg_price,last_6_months_used_max_price,current_new_total_lots,current_new_total_qty,current_new_min_price,current_new_avg_price,current_new_qty_avg_price,current_new_max_price,current_used_total_lots,current_used_total_qty,current_used_min_price,current_used_avg_price,current_used_qty_avg_price,current_used_max_price
224-1,,,,,,,,,,,,,,,,,,,,,,,,
231-2,,,,,,,,,,,,,1,1,1,US $130.13,US $130.13,US $130.13,4,4,4,US $180.38,US $180.38,US $238.57
236-1,,,,,,,,,,,,,,,,,,,,,,,,
250-2,,,,,,,,,,,,,,,,,,,1,1,1,US $813.31,US $813.31,US $813.31
251-2,,,,,,,1,1,1,US $27.06,US $27.06,US $27.06,,,,,,,3,3,3,US $339.96,US $339.96,US $975.97
252-2,,,,,,,,,,,,,,,,,,,2,2,2,US $444.61,US $444.61,US $878.37
275-2,,,,,,,,,,,,,,,,,,,,,,,,
1200-2,,,,,,,,,,,,,,,,,,,1,1,1,US $145.36,US $145.36,US $145.36
1226-2,,,,,,,,,,,,,,,,,,,,,,,,
1227-2,,,,,,,,,,,,,,,,,,,,,,,,
1228-2,,,,,,,,,,,,,,,,,,,1,1,1,US $271.10,US $271.10,US $271.10
1231-2,,,,,,,,,,,,,,,,,,,,,,,,
1231-3,,,,,,,,,,,,,,,,,,,,,,,,
1270-1,,,,,,,,,,,,,,,,,,,2,2,2,US $341.59,US $341.59,US $412.08
1271-2,,,,,,,,,,,,,,,,,,,1,1,1,US $412.08,US $412.08,US $412.08
1310-1,,,,,,,,,,,,,,,,,,,2,2,2,"US $1,304.19","US $1,304.19","US $1,518.17"
22-3,,,,,,,,,,,,,,,,,,,,,,,,
23-2,,,,,,,,,,,,,,,,,,,,,,,,
1660-1,,,,,,,,,,,,,1,1,1,US $363.40,US $363.40,US $363.40,5,5,5,US $72.98,US $72.98,US $130.82
1714-1,,,,,,,,,,,,,,,,,,,6,9,6,US $18.90,US $16.96,US $39.99
1715-1,,,,,,,,,,,,,,,,,,,,,,,,
1734-1,,,,,,,,,,,,,,,,,,,,,,,,
1736-1,,,,,,,9,9,9,US $17.13,US $17.13,US $20.04,3,3,3,US $162.27,US $162.27,US $216.88,16,17,16,US $19.85,US $19.96,US $27.10
1743-1,,,,,,,,,,,,,,,,,,,,,,,,
1744-1,,,,,,,,,,,,,,,,,,,,,,,,
1745-1,,,,,,,,,,,,,,,,,,,,,,,,
1746-1,3,5,3,US $61.60,US $56.96,US $84.81,3,3,3,US $26.66,US $26.66,US $39.99,2,2,2,US $78.37,US $78.37,US $87.74,1,1,1,US $40.00,US $40.00,US $40.00
1756-1,,,,,,,,,,,,,,,,,,,1,1,1,US $1.00,US $1.00,US $1.00
1758-1,,,,,,,,,,,,,1,1,1,US $9.42,US $9.42,US $9.42,,,,,,
1759-1,1,1,1,US $5.47,US $5.47,US $5.47,,,,,,,7,9,7,US $6.72,US $6.79,US $9.88,,,,,,
1760-1,7,8,7,US $12.17,US $11.74,US $16.16,13,13,13,US $2.96,US $2.96,US $6.48,4,5,4,US $11.90,US $10.59,US $20.00,29,36,29,US $2.32,US $2.39,US $6.27
1761-1,8,13,8,US $16.37,US $16.70,US $27.09,15,15,15,US $4.58,US $4.58,US $10.95,9,21,9,US $29.41,US $24.54,US $55.69,10,10,10,US $5.17,US $5.17,US $10.84
1762-1,,,,,,,1,1,1,US $4.00,US $4.00,US $4.00,2,3,2,US $27.47,US $26.63,US $29.99,12,15,12,US $3.94,US $3.95,US $7.50
1764-1,,,,,,,,,,,,,,,,,,,,,,,,
1765-1,,,,,,,,,,,,,,,,,,,,,,,,
1766-1,,,,,,,,,,,,,,,,,,,2,2,2,US $5.96,US $5.96,US $7.59
1767-1,,,,,,,,,,,,,,,,,,,,,,,,
1768-1,,,,,,,,,,,,,,,,,,,,,,,,
1785-1,,,,,,,1,1,1,US $24.37,US $24.37,US $24.37,5,5,5,US $126.00,US $126.00,US $145.00,8,9,8,US $37.54,US $36.08,US $85.00
1786-1,,,,,,,4,4,4,US $31.63,US $31.63,US $45.00,3,3,3,US $311.21,US $311.21,US $315.00,11,11,11,US $39.13,US $39.13,US $80.00
1787-1,2,2,2,US $185.27,US $185.27,US $200.00,10,10,10,US $56.63,US $56.63,US $95.00,4,5,4,US $183.45,US $180.87,US $200.00,12,13,12,US $58.74,US $60.15,US $117.38
1788-1,1,1,1,US $188.41,US $188.41,US $188.41,2,2,2,US $146.00,US $146.00,US $175.00,,,,,,,16,16,16,US $262.32,US $262.32,US $788.08
1789-1,,,,,,,8,8,8,US $110.92,US $110.92,US $165.00,2,2,2,US $717.04,US $717.04,US $759.08,26,28,26,US $136.73,US $137.04,US $245.00
1793-1,1,1,1,US $503.20,US $503.20,US $503.20,3,3,3,US $170.33,US $170.33,US $175.00,3,3,3,US $591.67,US $591.67,US $675.00,13,13,13,US $207.54,US $207.54,US $375.00
1805-1,,,,,,,,,,,,,,,,,,,2,2,2,US $11.45,US $11.45,US $12.90
1807-1,4,4,4,US $12.52,US $12.52,US $13.09,,,,,,,7,21,7,US $13.68,US $13.60,US $15.75,5,6,5,US $8.67,US $8.65,US $10.00
1811-1,,,,,,,,,,,,,1,1,1,US $50.00,US $50.00,US $50.00,,,,,,
1814-1,,,,,,,,,,,,,,,,,,,,,,,,
1819-1,,,,,,,,,,,,,,,,,,,,,,,,
1822-1,1,1,1,US $325.00,US $325.00,US $325.00,16,16,16,US $38.60,US $38.60,US $45.00,3,3,3,US $325.11,US $325.11,US $325.32,20,20,20,US $44.00,US $44.00,US $75.91
1828-1,1,1,1,US $15.43,US $15.43,US $15.43,,,,,,,1,1,1,US $15.18,US $15.18,US $15.18,2,2,2,US $1.45,US $1.45,US $1.79
1831-1,1,1,1,US $400.36,US $400.36,US $400.36,,,,,,,5,5,5,US $439.07,US $439.07,US $450.00,4,6,4,US $222.23,US $188.16,US $278.48
1836-1,2,2,2,US $3.23,US $3.23,US $3.24,,,,,,,4,4,4,US $7.61,US $7.61,US $17.29,11,12,11,US $1.54,US $1.69,US $3.25
1837-1,4,4,4,US $4.70,US $4.70,US $5.40,,,,,,,9,9,9,US $5.74,US $5.74,US $8.95,2,2,2,US $1.28,US $1.28,US $1.47
1838-1,,,,,,,,,,,,,11,13,11,US $4.89,US $4.97,US $11.65,3,3,3,US $1.68,US $1.68,US $2.17
1839-1,1,1,1,US $3.12,US $3.12,US $3.12,,,,,,,6,8,6,US $4.99,US $5.45,US $7.58,,,,,,
1840-1,1,1,1,US $16.53,US $16.53,US $16.53,,,,,,,5,9,5,US $8.30,US $8.54,US $9.00,1,1,1,US $4.00,US $4.00,US $4.00
1844-1,,,,,,,,,,,,,,,,,,,,,,,,
1850-1,1,1,1,US $16.53,US $16.53,US $16.53,,,,,,,1,4,1,US $8.80,US $8.80,US $8.80,,,,,,
1954-1,3,5,3,US $25.42,US $30.35,US $37.73,12,12,12,US $8.98,US $8.98,US $15.00,,,,,,,18,20,18,US $9.92,US $9.98,US $21.69
2080-1,,,,,,,,,,,,,,,,,,,,,,,,
2082-1,,,,,,,,,,,,,,,,,,,2,2,2,US $39.11,US $39.11,US $40.00
2084-1,,,,,,,,,,,,,,,,,,,1,1,1,US $21.69,US $21.69,US $21.69
2086-1,,,,,,,,,,,,,,,,,,,,,,,,
2090-1,,,,,,,,,,,,,,,,,,,2,2,2,US $26.84,US $26.84,US $45.00
2320-1,,,,,,,,,,,,,1,11,1,US $9.00,US $9.00,US $9.00,,,,,,
2324-1,,,,,,,,,,,,,,,,,,,,,,,,
2326-1,,,,,,,,,,,,,,,,,,,,,,,,
2338-1,,,,,,,,,,,,,,,,,,,2,2,2,US $19.84,US $19.84,US $26.02
2342-1,,,,,,,,,,,,,,,,,,,,,,,,
2362-1,,,,,,,,,,,,,,,,,,,1,2,1,US $18.59,US $18.59,US $18.59
2364-1,,,,,,,,,,,,,,,,,,,1,1,1,US $14.64,US $14.64,US $14.64
2368-1,,,,,,,,,,,,,,,,,,,1,1,1,US $19.90,US $19.90,US $19.90
2659-1,,,,,,,,,,,,,,,,,,,,,,,,
2663-1,,,,,,,,,,,,,,,,,,,2,2,2,US $62.65,US $62.65,US $99.99
2665-1,,,,,,,1,1,1,US $35.11,US $35.11,US $35.11,,,,,,,,,,,,
2667-1,,,,,,,1,1,1,US $49.26,US $49.26,US $49.26,,,,,,,2,2,2,US $74.63,US $74.63,US $79.65
2670-1,,,,,,,,,,,,,,,,,,,1,1,1,US $113.92,US $113.92,US $113.92
2690-1,,,,,,,1,1,1,US $12.23,US $12.23,US $12.23,1,1,1,US $21.69,US $21.69,US $21.69,6,8,6,US $11.95,US $12.03,US $20.00
2691-1,,,,,,,,,,,,,,,,,,,1,1,1,US $18.23,US $18.23,US $18.23
2692-1,,,,,,,1,1,1,US $28.66,US $28.66,US $28.66,1,2,1,US $130.13,US $130.13,US $130.13,1,1,1,US $21.58,US $21.58,US $21.58
2693-1,,,,,,,1,1,1,US $37.64,US $37.64,US $37.64,,,,,,,2,2,2,US $37.96,US $37.96,US $37.97
2783-1,,,,,,,,,,,,,1,1,1,US $18.76,US $18.76,US $18.76,3,3,3,US $13.76,US $13.76,US $16.21
2785-1,,,,,,,,,,,,,,,,,,,1,1,1,US $27.10,US $27.10,US $27.10
2796-1,,,,,,,,,,,,,,,,,,,1,1,1,US $54.22,US $54.22,US $54.22
2915-1,,,,,,,,,,,,,1,1,1,US $25.00,US $25.00,US $25.00,,,,,,
2925-1,,,,,,,,,,,,,1,1,1,US $75.91,US $75.91,US $75.91,2,2,2,US $35.40,US $35.40,US $48.80
