Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Value new (USD),Value used (USD),Launch date,Exit date
224-1,System,Supplemental,1956,2 x 2 & 2 x 4 Curved Bricks,,14,,,,,,,8.89,6.35,2.54,,,0,0,0,,0,0,,,,
231-2,System,Supplemental,1956,Esso Pumps/Sign,,2,,,,,,,,,,,,0,0,0,,0,0,,55.0000,,
236-1,System,Town Plan,1956,Garage with Automatic Door (White base and door frame),,69,,,,,,,14.605,6.35,3.81,,,0,0,0,,0,0,,27.2000,,
250-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Tanker,,1,,,,,,,,,,,,0,0,0,,0,0,,37.9500,,
251-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Truck,,1,,,,,,,,,,,,0,0,0,,0,0,,27.0600,,
252-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Trailer,,1,,,,,,,,,,,,0,0,0,,0,0,,,,
275-2,System,HO 1:87 Vehicles,1956,1:87 VW Van,,1,,,,,,,,,,,,0,0,0,,0,0,,,,
1200-2,System,Town Plan,1956,"LEGO Town Plan Board, Small Plastic",,1,,,,,,,,,,,,0,0,0,,0,0,,179.2100,,
1226-2,System,Supplemental,1956,6 x 8 & 2 x 8 Plates,,4,,,,,,,,,,,,0,0,0,,0,0,,,,
1227-2,System,Supplemental,1956,4 x 8 & 2 x 8 Plates,,5,,,,,,,,,,,,0,0,0,,0,0,,,,
1228-2,System,Supplemental,1956,4 x 8 Curved & 2 x 8 Plates,,5,,,,,,,,,,,,0,0,0,,0,0,,,,
1231-2,System,Supplemental,1956,"Windows and Door with Glass, Red",,10,,,,,,,,,,,,0,0,0,,0,0,,,,
1231-3,System,Supplemental,1956,"Windows and Door with Glass, White",,10,,,,,,,,,,,,0,0,0,,0,0,,,,
1270-1,System,HO 1:87 Vehicles,1956,5 Cyclists / Motorcyclists,,5,,,,,,,,,,,,0,0,0,,0,0,,,,
1271-2,System,Town Plan,1956,Traffic Police Set,,6,,,,,,,,,,,,0,0,0,,0,0,,,,
1310-1,System,Town Plan,1956,ESSO Filling Station,,96,,,,,,,,,,,,0,0,0,,0,0,,,,
