bsbl_id,bs_theme,bs_subtheme,bs_year,bs_name,bs_minifigures,bs_pieces,bs_rrp,bs_owned,bs_owned_new,bs_owned_used,bs_wanted,bs_value_new,bs_value_used,bl_sold_qty_new,bl_sold_avgprice_new,bl_sold_qty_used,bl_sold_avgprice_used,bl_offer_qty_new,bl_offer_avgprice_new,bl_offer_qty_used,bl_offer_avgprice_used
224-1,System,Supplemental,1956,2 x 2 & 2 x 4 Curved Bricks,,14.0,,0,0,0,0,,,,,,,,,,
231-2,System,Supplemental,1956,Esso Pumps/Sign,,2.0,,0,0,0,0,,55.0,,,,,1.0,130.13,4.0,180.38
236-1,System,Town Plan,1956,Garage with Automatic Door (White base and door frame),,69.0,,0,0,0,0,,27.2,,,,,,,,
250-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Tanker,,1.0,,0,0,0,0,,37.95,,,,,,,1.0,813.31
251-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Truck,,1.0,,0,0,0,0,,27.06,,,1.0,27.06,,,3.0,339.96
252-2,System,HO 1:87 Vehicles,1956,1:87 Esso Bedford Trailer,,1.0,,0,0,0,0,,,,,,,,,2.0,444.61
275-2,System,HO 1:87 Vehicles,1956,1:87 VW Van,,1.0,,0,0,0,0,,,,,,,,,,
1200-2,System,Town Plan,1956,"LEGO Town Plan Board, Small Plastic",,1.0,,0,0,0,0,,179.21,,,,,,,1.0,145.36
1226-2,System,Supplemental,1956,6 x 8 & 2 x 8 Plates,,4.0,,0,0,0,0,,,,,,,,,,
1227-2,System,Supplemental,1956,4 x 8 & 2 x 8 Plates,,5.0,,0,0,0,0,,,,,,,,,,
1228-2,System,Supplemental,1956,4 x 8 Curved & 2 x 8 Plates,,5.0,,0,0,0,0,,,,,,,,,1.0,271.1
1231-2,System,Supplemental,1956,"Windows and Door with Glass, Red",,10.0,,0,0,0,0,,,,,,,,,,
1231-3,System,Supplemental,1956,"Windows and Door with Glass, White",,10.0,,0,0,0,0,,,,,,,,,,
1270-1,System,HO 1:87 Vehicles,1956,5 Cyclists / Motorcyclists,,5.0,,0,0,0,0,,,,,,,,,2.0,341.59
1271-2,System,Town Plan,1956,Traffic Police Set,,6.0,,0,0,0,0,,,,,,,,,1.0,412.08
1310-1,System,Town Plan,1956,ESSO Filling Station,,96.0,,0,0,0,0,,,,,,,,,2.0,1304.19
700_0-1,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_1-2,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_2-2,System,Basic Set,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_3-2,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_3A-2,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_4-3,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_5-2,System,Basic Set,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
700_6-2,System,Town Plan,1956,Gift Package,,,,0,0,0,0,,,,,,,,,,
22-3,Assorted,,1995,Value Pack Italy,,91.0,,0,0,0,0,101.82,,,,,,,,,
23-2,Town,Product Collection,1995,Value Pack Italy,,156.0,,0,0,0,0,70.15,,,,,,,,,
1660-1,Promotional,Ferries,1995,Kronprins Frederik Ferry,,163.0,,0,0,0,0,295.51,59.76,,,,,1.0,363.4,5.0,72.98
1714-1,Space,Spyrius,1995,Surveillance Scooter,1.0,22.0,1.99,0,0,0,0,25.0,10.0,,,,,,,9.0,16.96
1715-1,Basic,,1995,Standard Bricks,,400.0,,0,0,0,0,26.0,20.0,,,,,,,,
1719-2,Freestyle,,1995,Freestyle Bricks and Plates,,199.0,,0,0,0,0,,,,,,,,,,
1734-1,Duplo,,1995,Large Clown Bucket,,77.0,,0,0,0,0,,,,,,,,,,
1736-1,Castle,Dragon Knights,1995,Wizard's Cart,1.0,17.0,,0,0,0,0,35.4,18.03,,,9.0,17.13,3.0,162.27,17.0,19.96
1743-1,Basic,,1995,"Standard Bricks, 5+",,400.0,,0,0,0,0,29.99,,,,,,,,,
1744-1,Duplo,,1995,Medium Bucket,1.0,51.0,,0,0,0,0,,,,,,,,,,
1745-1,Basic,,1995,"Standard Bricks, 3+",,404.0,,0,0,0,0,,,,,,,,,,
1746-1,Castle,Dragon Knights,1995,Wiz the Wizard,1.0,17.0,2.5,0,0,0,0,61.6,26.66,5.0,56.96,3.0,26.66,2.0,78.37,1.0,40.0
1756-1,Basic,,1995,Animals,,8.0,,0,0,0,0,14.42,0.68,,,,,,,1.0,1.0
1758-1,Basic,,1995,Animals,,7.0,,0,0,0,0,11.71,0.41,,,,,1.0,9.42,,
1759-1,Duplo,,1995,Parrot,,7.0,0.6,0,0,0,0,5.47,,1.0,5.47,,,9.0,6.79,,
1760-1,Town,Racing,1995,Go-Kart,1.0,16.0,,0,0,0,0,11.7,3.14,8.0,11.74,13.0,2.96,5.0,10.59,36.0,2.39
1761-1,Town,Paradisa,1995,Paradisa Speedboat,1.0,21.0,,0,0,0,0,17.98,4.2,13.0,16.7,15.0,4.58,21.0,24.54,10.0,5.17
1762-1,Town,Racing,1995,Go-Kart,1.0,16.0,,0,0,0,0,7.5,4.0,,,1.0,4.0,3.0,26.63,15.0,3.95
1764-1,Duplo,,1995,Birthday Building Set,,100.0,,0,0,0,0,,,,,,,,,,
1765-1,Duplo,,1995,Small Bucket,,34.0,,0,0,0,0,,,,,,,,,,
1766-1,Freestyle,,1995,Small Freestyle Bucket,,109.0,,0,0,0,0,,,,,,,,,2.0,5.96
1767-1,Basic,,1995,Animals,,6.0,,0,0,0,0,11.71,0.41,,,,,,,,
1768-1,Basic,,1995,Animals,,10.0,,0,0,0,0,3.1,0.38,,,,,,,,
1785-1,Space,Miscellaneous,1995,Crater Critters,,143.0,10.0,0,0,0,0,149.99,36.45,,,1.0,24.37,5.0,126.0,9.0,36.08
1786-1,Town,Police,1995,Jailbreak Joe,4.0,186.0,,0,0,0,0,315.0,25.37,,,4.0,31.63,3.0,311.21,11.0,39.13
1787-1,Space,Unitron,1995,Crater Cruiser,2.0,183.0,18.0,0,0,0,0,200.0,59.4,2.0,185.27,10.0,56.63,5.0,180.87,13.0,60.15
1788-1,Pirates,,1995,Treasure Chest,4.0,159.0,22.0,0,0,0,0,800.0,140.4,1.0,188.41,2.0,146.0,,,16.0,262.32
1789-1,Space,Unitron,1995,Star Hawk II,2.0,292.0,27.0,0,0,0,0,150.0,113.36,,,8.0,110.92,2.0,717.04,28.0,137.04
